城市,周五（6日）,周六（7日）,周日（8日）,周一（9日）,周二（10日）,周三（11日）,周四（12日）,周五（13日）
河南,0.64,0.57,0.11,0.51,0.83,0.07,0.39,0.16
北京,0.01,0.81,0.54,0.29,0.94,0.55,0.32,0.35
河北,0.06,0.42,0.33,0.63,0.08,0.74,0.75,0.41
辽宁,0.1,0.52,0.56,0.38,0.72,0.75,0.28,0.1
江西,0.58,0.27,0.54,0.29,0.52,0.42,0.33,0.96
上海,0.63,0.95,0.89,0.08,0.45,0.82,0.37,0.82
安徽,0.44,0.09,0.87,0.24,0.17,0.02,0.55,0.71
江苏,0.81,0.64,0.94,0.32,0.66,0.35,0.54,0.73
湖南,0.82,0.41,0.46,0.5,0.11,0.8,0.85,0.72
浙江,0.67,0.17,0.05,0.56,0.3,0.18,0.38,0.37
海南,0.37,0.79,0.64,0.25,0.55,0.07,0.54,0.19
广东,0.54,0.78,0.52,0.07,0.48,0.74,0.95,0.78
湖北,0.71,0.49,0.47,0.55,0.65,0.6,0.78,0.9
黑龙江,0.7,0.46,0.48,0.76,0.87,0.04,0.2,0.04
澳门,0.43,0.99,0.68,0.42,0.07,0.06,0.51,0.19
陕西,0.67,0.51,0.22,0.5,0.44,0.2,0.11,0.94
四川,0.53,0.99,0.2,0.3,0.24,0.97,1.0,0.37
内蒙古,0.27,0.22,0.23,0.28,0.73,0.11,0.02,0.94
重庆,0.77,0.2,0.83,0.72,0.31,0.2,0.44,0.29
云南,0.76,0.41,0.56,0.73,0.58,0.46,0.21,0.3
贵州,0.64,0.87,0.93,0.03,0.04,0.84,0.99,0.63
吉林,0.12,0.57,0.49,0.77,0.84,0.14,0.77,0.54
山西,0.41,0.22,0.05,0.74,0.15,0.16,0.93,0.7
山东,0.12,0.54,0.17,0.14,0.99,0.73,0.69,0.97
福建,0.48,0.37,0.48,0.65,0.03,0.59,0.49,0.25
青海,0.01,0.04,0.48,0.84,0.96,0.9,0.47,0.63
天津,0.05,0.11,0.33,0.52,0.52,0.98,0.7,0.44
